x(km)	g(x) mgal						
-15	30.85281738						28.27538572
-14.02081812	32.42100422						30.09671928
-13.10124206	33.98919106						32.02094791
-12.06172129	35.59562637						34.49300062
-11.04219131	37.66104319						37.2850069
-10.00267054	40.37668382						40.58746212
-9.003131342	44.01028748						44.29087333
-8.063564494	47.68213961						48.3423619
-7.073333658	53.51404679						53.32586165
-6.107138691	60.38477085						59.00753296
-5.124840474	66.67009689						65.69290005
-4.09388988	73.4710058						73.64213074
-3.089149903	79.75829845						81.91877463
-2.153289705	87.08453842						89.22760294
-1.150009045	92.91308599						95.03405642
-0.000796654	95.00717493						96.82108582
0.87479374	92.91308599						94.11287074
1.878074399	88.20138586						87.72600077
2.844872125	79.72032563						79.97085649
3.912649021	70.87085031						71.25435596
4.839623351	61.84870841						64.29366977
5.913063746	54.57227717						57.23596458
6.921542047	48.67406832						51.58550987
7.838192524	43.98525322						47.18390038
8.867085916	40.26283512						42.95150994
9.74934208	37.65094493						39.82333999
10.89350746	34.47669639						36.33331508
11.86604803	31.84973208						33.78226883
12.83858861	29.73356639						31.54556223
14	27.69037193						29.21567074
